date,home,away,market,selection,book,odds,fair_p,fair_odds,ev,stake,league,kickoff,FTHG,FTAG,PSCH,PSCD,PSCA,PC>2.5,PC<2.5,won,profit,profit_flat,close_odds,clv,ev_close
2026-09-23,Boreham Wood,Everton U21,1x2,X,SB,7.2,0.1602320976683387,6.240946817471493,0.1536711032120388,6.196415452098339,,,,,1.2469,5.08,12.17,,,,,,5.08,0.4173228346456692,0.1536711032120388
2026-09-23,Crystal Palace,Watford,1x2,1,SB,1.18,0.8916053471223319,1.1215724571723502,0.0520943096043515,20.0,,,,,1.1,8.42,17.7,,,,,,1.1,0.07272727272727253,0.052094309604351574
2026-09-23,Liverpool,Sunderland,1x2,1,SB,1.17,0.8826774076408336,1.1329167273837213,0.0327325669397753,20.0,,,,,1.11,7.85,17.68,,,,,,1.11,0.054054054054053946,0.03273256693977511
2026-09-23,Liverpool Montevideo,Colon,1x2,1,SB,1.53,0.6884042465691357,1.4526348507926743,0.0532584972507776,20.0,,,,,1.3831,4.06,6.68,1.9709,1.7634,,,,1.3831,0.10621068613983087,0.05325849725077769
2026-09-24,Ironi Modiin,FC Ashdod,1x2,2,SB,1.67,0.6247717600876356,1.6005845076284049,0.0433688393463513,16.18240274117589,Israel - Ligat Leumit,19:00,,,6.08,4.37,1.3745,1.6024,2.18,,,,1.3745,0.2149872680974898,0.15708094701607012
2026-09-27,Real Salt Lake,New England Revolution,1x2,2,SB,3.05,0.3366174773569479,2.970731073893717,0.0266833059386912,3.2540616998404004,USA - Major League Soccer,04:30,,,2.53,3.86,2.6,1.5917,2.43,,,,2.6,0.1730769230769229,0.13273699870239697
2026-09-27,Seattle Sounders,Minnesota United,1x2,1,SB,2.17,0.477262582302948,2.095282632832168,0.0356598035973971,7.6196161532899955,USA - Major League Soccer,03:30,,,2.28,3.79,2.97,1.5682,2.48,,,,2.28,-0.04824561403508765,-0.07682536823868147
2026-09-24,Holon Yermiyahu,Kfar Saba 1928,1x2,2,SB,2.05,0.5003559013526261,1.9985774071949027,0.0257295977728833,6.12609470782936,Israel - Liga Alef,19:30,,,3.15,3.48,1.9174,2.0,1.7092,,,,1.9174,0.06915614895170541,-0.015567124971988866
2026-09-24,Kontu,LPS,1x2,1,SB,3.15,0.3359493790316998,2.976638929597905,0.0582405439498545,6.772156273238903,Finland - Kolmonen,19:00,,,3.28,5.32,1.5814,,,,,,3.28,-0.03963414634146334,-0.18673504775831606
2026-09-24,Uzbekistan,Iran,1x2,X,SB,3.1,0.3475322821000424,2.8774305338119204,0.0773500745101316,9.2083422035871,International - Friendlies,17:00,,,3.15,2.8,2.67,2.49,1.5376,,,,2.8,0.1071428571428572,0.056187887413978066
2026-09-25,Allerheiligen,Deutschlandsberger,1x2,2,SB,1.8,0.59584977875627,1.6782753567305528,0.0725296017612859,20.0,Austria - Regionalliga South,20:00,,,3.9,4.01,1.6098,,,,,,1.6098,0.11815132314573251,0.046999401009560904
2026-09-25,Swit Nowy Dwor Mazowiecki,Lomza,ou25,Over 2.5,SB,1.54,0.6689686808048232,1.4948382916774512,0.0302117684394276,13.986929833068348,Poland - 3rd Liga,17:00,,,1.4484,4.7,4.46,1.4082,2.59,,,,1.4082,0.09359465984945325,0.03280793209734578
2026-09-25,Wisla Plock II,Jagiellonia Bialystok II,1x2,2,SB,3.35,0.3544326494884732,2.8214105033586128,0.1873493757863853,19.9307846581261,Poland - 3rd Liga,17:00,,,2.15,3.79,2.53,,,,,,2.53,0.324110671936759,0.18135860878298682
2026-09-25,Wislanie Skawina,Wisloka Debica,1x2,1,SB,2.0,0.5188193338034804,1.927453228600733,0.0376386676069608,9.409666901740222,Poland - 3rd Liga,20:00,,,1.7874,3.46,3.6,1.6289,2.12,,,,1.7874,0.11894371713102814,0.037638667606960885
2026-09-25,Zabkovia Zabki,Mlawianka Mlawa,1x2,1,SB,1.78,0.5756971625399147,1.7370243681384607,0.0247409493210482,7.92979144905391,Poland - 3rd Liga,17:00,,,1.625,4.31,3.58,,,,,,1.625,0.0953846153846154,0.0247409493210482
2026-09-26,Alingsas,Trelleborgs,1x2,1,SB,3.55,0.2932791058798604,3.4097212517063613,0.0411408258735044,4.033414301323964,Sweden - Elitettan Women,17:00,,,2.97,3.77,1.9091,1.6623,2.06,,,,2.97,0.19528619528619506,0.04114082587350443
2026-09-26,Arka Gdynia,Talent Warszawa,1x2,1,SB,2.1,0.5567149773032387,1.7962512969276685,0.1691014523368013,20.0,Poland - U19 League,16:00,,,1.6757,3.85,3.7,1.4132,2.57,,,,1.6757,0.25320761472817344,0.1691014523368013
2026-09-26,Arka Gdynia,Talent Warszawa,ou25,Over 2.5,SB,1.58,0.667790777405141,1.4974750083937014,0.0551094283001227,20.0,Poland - U19 League,16:00,,,1.6757,3.85,3.7,1.4132,2.57,,,,1.4132,0.11803000283045573,0.055109428300122776
2026-09-26,Baltyk Koszalin,Gedania Gdansk,1x2,2,SB,2.55,0.4213924924779681,2.3730845182351783,0.0745508558188186,12.02433158368042,Poland - 3rd Liga,16:00,,,2.65,3.52,2.16,1.4831,2.38,,,,2.16,0.18055555555555536,0.0745508558188186
2026-09-26,Bonnyrigg Rose,Motherwell B,1x2,2,SB,6.1,0.187285263517155,5.339448396634801,0.1424401074546459,6.982358208561077,Scotland - Challenge Cup,17:00,,,1.4032,6.04,4.4,,,,,,4.4,0.38636363636363624,0.14244010745464597
2026-09-26,Byasen,Orkla,1x2,2,SB,6.1,0.1804705379358133,5.541070644758996,0.1008702814084612,4.944621637669668,Norway - 3rd Division,15:00,,,1.3257,7.35,4.37,,,,,,4.37,0.3958810068649885,0.10087028140846122
2026-09-26,CK Troszyn,LKS Lodz II,1x2,1,SB,2.92,0.4217227771364315,2.371225966949587,0.2314305092383799,20.0,Poland - 3rd Liga,14:00,,,2.18,3.5,2.73,1.4762,2.44,,,,2.18,0.33944954128440363,0.23143050923837993
2026-09-26,Chivas Guadalajara,Queretaro,ou25,Under 2.5,SB,2.25,0.4621008301588163,2.164029871264929,0.0397268678573365,7.945373571467318,Mexico - U21 League,18:00,,,1.5556,3.71,4.68,1.7246,1.9709,,,,1.9709,0.14161043178243427,0.03972686785733659
2026-09-26,Enskede,KIF Orebro,1x2,2,SB,1.3,0.8129338905131072,1.2301123272998504,0.0568140576670392,20.0,Sweden - Elitettan Women,14:00,,,10.54,5.6,1.189,1.463,2.45,,,,1.189,0.09335576114381827,0.056814057667039286
